#Stand	Length (m)	Cable type	Est. attenuation at 50 MHz (dBm)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)
88	97.50	CNT-240-DB	6.05	399.43	98.19	397.34	97.68	402.55	98.96	400.46	98.44
89	86.70	CNT-240-DB	5.38	354.54	87.16	353.41	86.88	357.97	88.00	356.82	87.72
90	79.10	CNT-240-DB	4.90	323.57	79.54	321.74	79.09	324.02	79.65	322.19	79.20
91	71.50	CNT-240-DB	4.43	297.58	73.16	295.64	72.68	299.56	73.64	297.57	73.15
92	67.40	CNT-240-DB	4.18	277.26	68.16	275.82	67.81	277.27	68.16	275.82	67.80
93	59.40	CNT-240-DB	3.68	243.18	59.78	241.75	59.43	243.41	59.84	242.02	59.50
94	55.50	CNT-240-DB	3.44	226.08	55.58	228.84	56.26	226.08	55.58	224.78	55.26
95	47.40	CNT-240-DB	2.94	192.91	47.42	191.76	47.14	195.21	47.99	194.08	47.71
96	42.00	CNT-240-DB	2.60	171.40	42.14	170.53	41.92	172.85	42.49	171.94	42.27
97	235.40	CNT-240-DB	14.59	972.52	239.08	967.52	237.85	996.43	244.95	991.17	243.66
98	211.80	CNT-240-DB	13.13	863.35	212.24	858.72	211.10	872.41	214.47	867.98	213.38
99	202.40	CNT-240-DB	12.55	825.71	202.99	821.32	201.90	835.21	205.32	830.83	204.24
100	190.40	CNT-240-DB	11.80	778.34	191.34	774.25	190.33	776.39	190.86	772.34	189.86
101	185.70	CNT-240-DB	11.51	760.46	186.94	756.53	185.98	766.52	188.43	762.52	187.45
102	182.30	CNT-240-DB	11.30	746.08	183.41	742.05	182.42	747.79	183.83	743.75	182.83
103	176.90	CNT-240-DB	10.97	719.79	176.95	716.02	176.02	728.18	179.01	724.33	178.06
104	180.20	CNT-240-DB	11.17	735.32	180.76	731.44	179.81	740.89	182.13	736.98	181.17
105	173.60	CNT-240-DB	10.76	709.76	174.48	706.01	173.56	711.85	174.99	708.13	174.08
106	168.10	CNT-240-DB	10.42	689.40	169.47	685.64	168.55	688.84	169.34	685.13	168.43
107	162.30	CNT-240-DB	10.06	665.04	163.09	661.59	162.64	667.15	164.01	663.70	163.16
108	151.10	CNT-240-DB	9.37	619.37	152.26	616.15	151.47	624.64	153.55	621.38	152.75
109	146.00	CNT-240-DB	9.05	598.10	147.03	594.87	146.24	599.32	147.33	494.26	121.50
